label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
Async	3.083098226460923	3.8482146522252667
Sync	260.35798542214326	244.08390950510062
total	263.5277636655006	248.61531117993425
total	486.0836235214614	514.8162204052481
Preact-TodoMVC		
Adding100Items		
Async	43.858344328195834	43.91067923447136
Sync	6.651940950619469	6.080956965069084
total	50.5271165033467	50.006285986966276
CompletingAllItems		
Async	30.26480333415158	28.282265104504905
Sync	3.9958194634413413	3.7851178069801876
total	34.26919000882227	32.12630384544491
DeletingItems		
Async	6.040769497426609	5.69740265757858
Sync	2.2398581293453654	2.0150015430284203
total	8.306728724137368	7.7218835723321835
total	93.16594177433204	90.27643120116379
React-Redux-TodoMVC		
Adding100Items		
Async	40.25126322101868	40.731399727231775
Sync	205.11631406769553	186.7925447574956
total	246.49335229335287	228.12827298706512
CompletingAllItems		
Async	28.815161066360762	28.38887029406344
Sync	180.414288480569	177.98704162962875
total	209.34633697479728	206.7243071318532
DeletingItems		
Async	4.529243461141258	3.742301098553131
Sync	119.36717522132732	110.01982407658902
total	124.35095352158974	114.37997748963355
total	587.0593281423377	552.3653062166694
React-TodoMVC		
Adding100Items		
Async	41.216878353075906	39.6864841806793
Sync	161.1365008681644	137.27320875091908
total	203.50021376932017	177.1284994840338
CompletingAllItems		
Async	31.67263582148807	31.61486574200691
Sync	107.34727529674207	97.6393948908336
total	140.16643626652547	130.25365423938314
DeletingAllItems		
Async	4.5419524069544766	3.2818232931726476
Sync	58.14975117658329	56.37180779391073
total	63.55283561650861	60.01120463892467
total	418.53865795982455	370.4894368803473
Vanilla-ES2015-Babel-Webpack-TodoMVC		
Adding100Items		
Async	34.020576320079414	34.15226729166661
Sync	330.55016120716095	325.34321193322177
total	364.59832593309307	359.517918207676
CompletingAllItems		
Async	27.369025095340156	28.184849348726356
Sync	71.12565200702855	72.66546805053514
total	98.51069556919367	100.87158762485653
DeletingItems		
Async	3.0091838777137876	2.978046575945065
Sync	45.005350509776335	45.82589257064627
total	48.01585976117465	48.807254117849844
total	511.13628615650595	509.2339864543174
Vanilla-ES2015-TodoMVC		
Adding100Items		
Async	33.60711713881647	34.3376285386603
Sync	340.38834076095736	331.5236358422361
total	374.02790192238353	365.9112117289964
CompletingAllItems		
Async	28.84234221721635	28.91184528703478
Sync	70.72305363482239	71.87503290601062
total	99.57394700556165	100.79386796091272
DeletingItems		
Async	2.809484169657278	2.8094839782763437
Sync	44.539670974412985	44.81566091419663
total	47.35040041234948	47.62580204567788
total	520.9655263310171	514.3362585260271
VanillaJS-TodoMVC		
Adding100Items		
Async	33.42797803042362	32.93249981930237
Sync	239.22671535758366	229.13547062236154
total	272.682019383544	262.07056072497323
CompletingAllItems		
Async	27.79514709001302	28.12147005506333
Sync	61.79361206247669	62.78721558929767
total	89.6196011248793	90.92207999015531
DeletingAllItems		
Async	3.486686417467227	3.296623021403114
Sync	40.6060242495194	40.116102699094476
total	44.22490118603576	43.417096948630125
total	406.71064048747263	396.4430231432459
VueJS-TodoMVC		
Adding100Items		
Async	61.30206964244396	60.39174578451634
Sync	9.11572619217334	8.815396656550485
total	70.42807404972548	69.20815690196017
CompletingAllItems		
Async	32.66569915070072	32.44050840902394
Sync	3.9473958854694065	3.8278834632301115
total	36.64558742912312	36.31087847732894
DeletingAllItems		
Async	8.668814682196997	8.43328579337445
Sync	5.573382714346243	4.895361935640072
total	14.320286152489421	13.355981546270415
total	121.77498002039012	119.1903473580242
jQuery-TodoMVC		
Adding100Items		
Async	42.31381909940515	42.21262521271229
Sync	527.7307287479601	511.94326995302293
total	570.0568940614645	554.2018687007409
CompletingAllItems		
Async	38.391131880294445	38.201089638502005
Sync	1003.5075447875855	972.4302459345877
total	1041.9348241704854	1010.6708371995531
DeletingAllItems		
Async	2.989902930723384	3.772606857644911
Sync	529.7814457264896	529.9338710199246
total	532.8189374389417	534.3072314975116
total	2145.2344234464604	2103.1618639892877
geomean	420.30686353536834	413.8695805354003
mean	578.8985867484374	572.5728786837261
score	47.584281236266406	48.324402035363676
total	9262.377387974999	9161.16605893962
