label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/chromium/src/out/handles_full_gc/chrome	/home/jake/chromium/src/out/direct_pointers_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC		
Adding100Items		
Async	34.257866267726094	34.36836400269949
Sync	54.02923270245355	53.82406205100063
total	88.32598773802472	88.23446666068565
CompletingAllItems		
Async	14.188640562647723	14.188990813612376
Sync	9.932759638389125	9.724139998084636
total	24.126184977002353	23.915818076852297
DeletingItems		
Async	2.6692363858434267	2.7281468392674726
Sync	17.623615015940974	17.728205326371697
total	20.29809177624188	20.46295963769597
total	132.76327354597228	132.62685302231097
AngularJS-TodoMVC		
Adding100Items		
Async	49.251036263849244	51.517604869215376
Sync	242.17820012622624	232.34538529357064
total	292.2630509505651	284.85519368780234
CompletingAllItems		
Async	30.229198543138967	29.285468020051574
Sync	76.37675271685903	68.259612580089
total	106.89704407193271	97.60045536040728
DeletingAllItems		
Async	16.122298750608756	14.169759887205503
Sync	275.7610880136761	261.5806204860101
total	291.9777880631619	275.91029220446586
total	700.1787600895768	666.7863155719284
BackboneJS-TodoMVC		
Adding100Items		
Async	40.24649943696456	40.388951148453486
Sync	71.17631662187563	69.52662321159333
total	111.43367792673584	109.92860200370998
CompletingAllItems		
Async	31.368704370857376	31.4866998475314
Sync	47.21104627914391	45.592399090884044
total	78.6150586177434	77.08126266657247
DeletingAllItems		
Async	3.514711659569729	3.7038194572845895
Sync	30.687574926400764	28.931459473173508
total	34.246967888801706	32.660630052507074
total	224.5379009700269	219.69500360187845
Elm-TodoMVC		
Adding100Items		
Async	49.775812658101636	49.47056103382479
Sync	147.32813425558027	159.6735693245602
total	198.62591862789733	211.58453708310893
CompletingAllItems		
Async	35.47703487437585	35.569112223066945
Sync	139.15460629307879	133.10645794332854
total	175.88056579623878	169.53073111501004
DeletingItems		
Async	10.081266720589051	9.99347327478979
Sync	145.86931493980677	138.28743258429884
total	156.42081737449618	148.7860006484966
total	543.2887869405554	545.6971624166449
EmberJS-Debug-TodoMVC		
Adding100Items		
Async	43.01394666784484	44.84921384290636
Sync	580.5503097497412	659.6101168016943
total	623.6323680524475	704.7944803100419
CompletingAllItems		
Async	31.173335351279608	32.25864440044518
Sync	391.76043819042314	347.9636472339802
total	423.1402675473168	380.41251272263656
DeletingItems		
Async	8.79720120306799	6.259520940571274
Sync	407.6359833119105	368.99078309741327
total	417.41356222208213	377.0224669364151
total	1475.3709864946504	1468.7540578253593
EmberJS-TodoMVC		
Adding100Items		
Async	38.08205171109934	39.16177537709835
Sync	203.68539676899994	239.08315774512562
total	241.91106291890236	279.06234315782103
CompletingAllItems		
Async	33.232600813509876	32.89340473632949
Sync	123.46307000354005	117.4424901329391
total	157.59336795552684	150.52408773058838
DeletingItems		
Async	3.3687814386604016	3.9268866267739106
Sync	77.69252403950468	94.00791444202154
total	81.56737694570913	98.89634799951811
total	481.9423314137606	540.136633194414
Flight-TodoMVC		
Adding100Items		
Async	36.36744284292751	35.788085001768096
Sync	106.89446299541508	96.25362604708548
total	143.6771201002194	132.04844273570882
CompletingAllItems		
Async	28.114539136719817	27.718072543194175
Sync	107.4133545589733	104.59061708724762
total	135.54024051863922	132.31116126545984
DeletingItems		
Async	3.2323519628900947	2.8888103131237393
Sync	89.60797301900583	88.59812496826635
total	93.01949851038043	91.48830940092871
total	373.6890034404866	355.8651557056882
Inferno-TodoMVC		
Adding100Items		
Async	42.42879377592929	41.387920634010655
Sync	50.96813555347706	49.09320700269211
total	93.69013947466327	90.72505901509469
CompletingAllItems		
Async	10.255859493780319	8.873928441879915
Sync	116.86363381438997	153.01402050785634
total	127.56389565703263	162.5294219938386
DeletingItems		
