label	chrome-handles-no-compact_no_sandbox_js_flags=no_compact_with_stack	chrome-direct-no-compact_no_sandbox_js_flags=no_compact_with_stack
browser	Chrome	Chrome
version	112.0.5572.0	112.0.5572.0
binary	/home/jake/chromium/src/out/handles_full_gc/chrome	/home/jake/chromium/src/out/direct_pointers_full_gc/chrome
flags	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack	--no-default-browser-check --disable-component-update --disable-sync --no-experiments --enable-benchmarking --disable-extensions --no-first-run --disable-background-timer-throttling --disable-renderer-backgrounding --no-sandbox --js-flags=--no-compact-with-stack
Angular2-TypeScript-TodoMVC		
total	379.7477642719278	367.17686088260825
CompletingAllItems		
Async	29.02494008682393	29.04843250255969
Sync	71.58578234056714	71.32929877595177
total	100.63455787736821	100.41163259829709
DeletingItems		
Async	3.1196904526092952	2.8262560035250264
Sync	45.072808702424474	44.75021913385018
total	48.40431179262627	47.58060281118028
total	528.9512884523245	515.1830980351502
VanillaJS-TodoMVC		
Adding100Items		
Async	32.84151911979368	33.69158830813629
Sync	228.91090669254018	240.87886375211644
total	261.754396456541	274.66860384864685
CompletingAllItems		
Async	27.500458542575053	27.734952550711558
Sync	61.863280667029166	62.73775230927328
total	89.38508456669602	90.49078094422177
DeletingAllItems		
Async	3.2788492852823583	3.4723442526468498
Sync	40.117460911188914	40.34208734188925
total	43.39811998232638	43.95517724244043
total	394.5703456540836	409.5251514844257
VueJS-TodoMVC		
Adding100Items		
Async	60.51704041756854	60.50355071453259
Sync	9.076294637357181	8.78013807240407
total	69.5939909767526	69.289977656948
CompletingAllItems		
Async	31.350167178820147	30.955121881046498
Sync	3.928699950326812	3.818496542401825
total	35.339637306677034	34.801698520040475
DeletingAllItems		
Async	8.456324954227155	8.838728052014277
Sync	4.917450171854834	4.856574545932932
total	13.399597034811835	13.708554798542753
total	118.76861381907199	118.01246531778389
jQuery-TodoMVC		
Adding100Items		
Async	42.37450299925795	41.46915351794552
Sync	516.7214413566618	499.4935599207256
total	559.1222514870778	540.9703316051094
CompletingAllItems		
Async	38.90498575201457	39.78596531852678
Sync	982.6587703056713	992.7631399105412
total	1021.6840087964498	1032.6651606072949
DeletingAllItems		
Async	2.767847486057179	4.105919679571455
Sync	517.3945238995574	523.0016220131192
total	520.1639505086163	528.049661758722
total	2101.249522403243	2103.3660290679422
geomean	399.3930256208616	396.80055210680456
mean	547.7179767483058	545.0592642079339
score	50.075987102953924	50.40315567559171
total	8763.487627972894	8720.948227326944
